university,age,is_commuter,commute_time,attendance,gpa,did_move,means_of_transport,think_commuting_negative_on_studies,no_study_time,higher_gpa_if_closer,no_hobbies,stress,no_sleep,no_friends,no_family,loneliness
unimi,24,1,0.75,1.0,28.0,0,"A piedi,Metro,Treno",0.44,0.67,0.0,0.78,0.78,0.44,0.22,0.0,0.22
polimi,20,1,0.25,1.0,22.33,0,Treno,0.11,0.56,0.22,0.44,0.56,0.78,0.67,0.67,0.44
unimi,21,0,0.5,1.0,26.0,0,,-1.0,0.78,0.78,0.67,0.67,0.56,0.56,0.67,0.33
polimi,20,1,0.75,0.33,26.0,0,"Metro,Treno,Auto",0.89,0.44,0.78,0.44,0.78,0.89,0.11,0.22,0.33
unimi,19,0,0.5,1.0,-1,0,,-1.0,0.78,0.11,0.67,0.56,0.22,0.78,0.78,0.22
polito,20,1,0.75,1.0,27.0,0,Treno,0.56,0.11,0.0,0.56,1.0,0.89,0.0,0.0,0.78
polimi,20,0,0.25,1.0,27.0,0,,-1.0,0.22,0.11,0.67,0.44,0.78,0.44,0.0,0.67
iulm,20,1,0.75,1.0,26.0,0,"Pullman,Metro,Treno",0.56,0.44,0.11,0.11,0.78,0.78,0.0,0.0,0.22
conservatorio,20,1,0.75,1.0,27.0,0,"A piedi,Pullman,Treno",1.0,0.56,0.33,0.78,0.89,1.0,1.0,0.22,0.0
unimi,24,1,0.75,1.0,28.5,0,Metro,0.56,0.44,0.11,0.33,0.11,0.11,0.22,0.0,0.0
cattolica,20,0,0.25,1.0,26.0,0,,-1.0,0.22,0.0,0.11,0.33,0.22,0.33,0.0,0.44
unimi,24,0,0.75,1.0,27.0,0,,-1.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0
brera,20,1,0.5,1.0,29.0,0,"Metro,Treno",0.78,0.78,0.78,0.89,0.89,1.0,0.44,0.67,0.22
unimi,24,1,0.75,1.0,28.5,0,"Pullman,Metro,Treno",0.78,0.0,0.44,0.0,0.67,0.22,0.0,0.0,0.0
piemonte orientale,20,1,0.75,1.0,-1,0,"Pullman,Treno",1.0,0.78,0.67,1.0,1.0,0.56,0.44,0.67,0.22
cattolica,21,1,0.25,1.0,27.5,0,"A piedi,Treno",0.56,0.33,0.22,0.33,0.67,0.56,0.22,0.22,0.11
iulm,20,1,0.5,1.0,25.8,0,"Metro,Treno",0.33,0.22,0.0,0.22,0.44,0.78,0.33,0.33,0.0
escp business school,24,0,0.5,1.0,28.0,1,,-1.0,0.22,0.0,0.0,0.56,1.0,0.0,0.56,0.44
univpm,19,0,0.0,1.0,23.75,1,,-1.0,0.89,1.0,1.0,1.0,0.89,0.44,1.0,1.0
cattolica,20,1,0.75,0.0,27.0,0,"Metro,Auto",0.89,0.67,1.0,0.89,1.0,0.0,0.56,0.0,0.56
